id,created_by,created_date,last_modified_by,last_modified_date,amount,error_description,status,type,harvest_year,harvest_id,distribution_origin_id,private_ucs_amount,public_ucs_amount
5385,1,2017-11-06 00:00:00,,,12,,FINISHED,REPARTITION_HARVEST,2010,,,12,0
5386,1,2017-11-06 00:00:00,,,481,,FINISHED,REPARTITION_HARVEST,2010,,,481,0
5387,1,2017-11-06 00:00:00,,,491,,FINISHED,REPARTITION_HARVEST,2010,,,491,0
5388,1,2017-11-06 00:00:00,,,214,,FINISHED,REPARTITION_HARVEST,2010,,,214,0
5389,1,2017-11-06 00:00:00,,,973,,FINISHED,REPARTITION_HARVEST,2010,,,973,0
5390,1,2017-11-06 00:00:00,,,29,,FINISHED,REPARTITION_HARVEST,2010,,,29,0
5391,1,2017-11-06 00:00:00,,,389,,FINISHED,REPARTITION_HARVEST,2010,,,389,0
5392,1,2017-11-06 00:00:00,,,1123,,FINISHED,REPARTITION_HARVEST,2010,,,1123,0
5393,1,2017-11-06 00:00:00,,,14,,FINISHED,REPARTITION_HARVEST,2010,,,14,0
5394,1,2017-11-06 00:00:00,,,293,,FINISHED,REPARTITION_HARVEST,2010,,,293,0
5395,1,2017-11-06 00:00:00,,,140,,FINISHED,REPARTITION_HARVEST,2010,,,140,0
5396,1,2017-11-06 00:00:00,,,199,,FINISHED,REPARTITION_HARVEST,2010,,,199,0
5397,1,2017-11-06 00:00:00,,,77,,FINISHED,REPARTITION_HARVEST,2010,,,77,0
5398,1,2017-11-06 00:00:00,,,105,,FINISHED,REPARTITION_HARVEST,2010,,,105,0
5399,1,2017-11-06 00:00:00,,,12000,,FINISHED,REPARTITION_HARVEST,2010,,,12000,0
5400,1,2017-11-06 00:00:00,,,2060,,FINISHED,REPARTITION_HARVEST,2010,,,2060,0
5401,1,2017-11-06 00:00:00,,,1010,,FINISHED,REPARTITION_HARVEST,2010,,,1010,0
5402,1,2017-11-06 00:00:00,,,74,,FINISHED,REPARTITION_HARVEST,2010,,,74,0
5403,1,2017-11-06 00:00:00,,,224,,FINISHED,REPARTITION_HARVEST,2010,,,224,0
