id,distribution_id,dare_code,royalties_code,royalties_total,dare_total,created_by,created_date,last_modified_by,last_modified_date,royalties_file_id,dare_file_id
398,37954,19112024,19112024,0.31,465.06,0,2024-10-31 16:15:13.397873,0,2024-10-31 16:15:13.397873,7071882b-8801-4923-9c93-90b7bf621354,96ed6804-13e7-4470-ab6c-045eba413405
397,37952,3004537162,3004537174,0.16,160.76,0,2024-10-30 16:05:48.340439,0,2024-10-30 16:05:48.340439,ddaa89bf-9626-4fc9-a799-553a123f0dc1,f0e08bbd-ee81-42e2-9c88-39022a782628
389,37933,3004537162,3004537174,0.56,1286.08,0,2024-10-15 16:59:36.571275,0,2024-10-15 16:59:36.571275,ddaa89bf-9626-4fc9-a799-553a123f0dc1,966f2513-7002-4422-84bf-74fb93c4750f
407,39386,,3004537174,0.09,0.00,0,2025-05-29 15:10:03.679227,0,2025-05-29 15:10:03.679227,ddaa89bf-9626-4fc9-a799-553a123f0dc1,
409,39391,3004537162,3004537174,0.81,1614.33,0,2025-06-23 15:04:05.56425,0,2025-06-23 15:04:05.56425,ddaa89bf-9626-4fc9-a799-553a123f0dc1,0293dabe-d9a0-4981-89bf-12b9321322ff
405,39341,3004537162,3004537174,0.10,195.11,0,2025-03-19 18:04:58.660606,0,2025-03-19 18:04:58.660606,ddaa89bf-9626-4fc9-a799-553a123f0dc1,ea607e17-e2fa-468e-b586-95ed9aad6cb8
404,39340,3004537162,3004537174,0.11,210.09,0,2025-03-19 18:00:43.607636,0,2025-03-19 18:00:43.607636,ddaa89bf-9626-4fc9-a799-553a123f0dc1,86290a4e-1199-46d0-bd9e-fe095e892b4d
403,39339,3004537162,3004537174,0.95,1890.81,0,2025-03-19 18:00:03.751591,0,2025-03-19 18:00:03.751591,ddaa89bf-9626-4fc9-a799-553a123f0dc1,7c8acf7b-d3da-453e-be93-849e4909c427
402,39274,3004537162,3004537174,1.11,2216.52,0,2024-12-13 12:38:23.963087,0,2024-12-13 12:38:23.963087,ddaa89bf-9626-4fc9-a799-553a123f0dc1,e180b92f-baba-4a9a-85af-12c735ccb652
401,39266,3004537162,3004537174,0.28,554.13,0,2024-12-11 10:45:23.861601,0,2024-12-11 10:45:23.861601,ddaa89bf-9626-4fc9-a799-553a123f0dc1,406a19d8-5457-4a61-ac5b-33b477beb7e8
400,39249,3004537162,3004537174,0.28,554.13,0,2024-12-02 08:34:23.643985,0,2024-12-02 08:34:23.643985,ddaa89bf-9626-4fc9-a799-553a123f0dc1,8b3ccbcc-f44f-4052-8c3b-31e2d9e65f5d
390,37934,3004537162,3004537174,0.72,1286.08,0,2024-10-15 17:00:46.384462,0,2024-10-15 17:00:46.384462,ddaa89bf-9626-4fc9-a799-553a123f0dc1,bf8328a2-2dcc-4880-8b05-6abed9fc7019
381,37781,3003926459,3003926467,0.64,1288.53,0,2024-06-18 17:56:51.298852,0,2024-06-18 17:56:51.298852,b570995c-3685-4158-af17-27bb48899b64,4ddcbcd0-4cce-4d12-beb1-21c3537a3d7c
368,37534,,3003872057,0.06,0.00,0,2024-02-27 14:48:35.852522,0,2024-02-27 14:48:35.852522,cf69a250-2ff1-4c6a-a5cf-8da2ff00a35c,
367,37533,3003872053,3003872057,0.68,1353.66,0,2024-02-27 14:47:41.192688,0,2024-02-27 14:47:41.192688,cf69a250-2ff1-4c6a-a5cf-8da2ff00a35c,562c24b3-8867-4fcd-9d5e-8f69df0cd9c9
356,37435,,3003784521,0.07,0.00,0,2023-11-09 11:29:58.773936,0,2023-11-09 11:29:58.773936,1e38f34f-db9b-4f42-b29d-e682370d32c4,
362,37459,3003784460,3003784521,0.85,1693.38,0,2023-11-30 09:01:23.149972,0,2023-11-30 09:01:23.149972,1e38f34f-db9b-4f42-b29d-e682370d32c4,f76891da-3de7-4425-9869-f0a0b6ddccaf
361,37455,3003784503,3003784521,0.54,1205.73,0,2023-11-27 16:50:23.155283,0,2023-11-27 16:50:23.155283,1e38f34f-db9b-4f42-b29d-e682370d32c4,a19d7c22-6615-4ded-ac3d-8d8f2a493e81
360,37452,3003784489,3003784521,0.47,937.79,0,2023-11-20 10:06:02.971432,0,2023-11-20 10:06:02.971432,1e38f34f-db9b-4f42-b29d-e682370d32c4,b843fd8b-c6b4-4cfd-a6f3-260104320845
359,37451,3003784487,3003784521,0.46,1042.08,0,2023-11-20 10:05:43.071032,0,2023-11-20 10:05:43.071032,1e38f34f-db9b-4f42-b29d-e682370d32c4,50a0d368-a5c7-42eb-b8d3-97114122c4d6
358,37450,3003784463,3003784521,0.26,390.78,0,2023-11-20 10:05:28.006573,0,2023-11-20 10:05:28.006573,1e38f34f-db9b-4f42-b29d-e682370d32c4,098539ee-bae1-4e15-8e57-9dbee4a510a7
353,37430,3003784483,3003784521,1.43,2995.98,0,2023-11-09 10:39:04.201839,0,2023-11-09 10:39:04.201839,1e38f34f-db9b-4f42-b29d-e682370d32c4,84f2db07-a6a5-4e1f-a444-400da95b99da
352,37429,3003784480,3003784521,0.59,1172.34,0,2023-11-09 10:38:18.869119,0,2023-11-09 10:38:18.869119,1e38f34f-db9b-4f42-b29d-e682370d32c4,1673bad0-4590-4b00-971f-514f310f23a8
