id,available_balance,reserved_balance,blocked_balance,retired_balance,user_id,updated_on,platform_id
19892,77399,0,0,0,394,2024-11-25 10:38:38.432384,4
25063,10360,0,0,0,2286,2025-04-09 14:33:03.463261,4
22774,0,37392,0,0,1593,2025-07-22 15:01:09.547396,7
24970,3200,0,0,0,2205,2025-07-11 15:17:49.533603,4
21009,294500,0,0,0,1543,2025-06-24 16:06:24.548279,4
18460,0,0,7,0,68,2023-03-16 16:26:35.91467,3
18465,0,0,0,0,623,2022-09-06 18:17:58.325057,2
18479,13071,0,0,0,44,2023-08-25 11:40:23.106196,2
18472,230781,0,0,0,1310,2023-08-15 10:24:46.243214,2
18476,0,0,0,0,570,2022-09-06 18:17:58.325057,2
18477,0,0,8,0,136,2023-03-16 16:28:07.697094,3
18478,0,0,0,0,510,2022-09-06 18:17:58.325057,4
18488,0,0,0,1,709,2022-09-06 18:17:58.325057,3
18505,78,0,0,0,1227,2023-07-06 17:18:05.335894,4
18634,0,0,0,0,1322,2024-07-11 09:02:55.831388,4
23209,0,0,0,19,2070,2024-06-20 09:02:45.849034,3
18498,0,0,0,0,554,2023-02-06 11:05:05.148751,3
18502,0,0,10,0,258,2022-09-21 11:43:15.332996,3
18506,49968,0,0,0,1266,2022-12-14 15:08:15.37554,4
18509,615927,0,0,0,80,2023-09-01 10:41:02.630921,2
18510,1525,0,0,0,316,2023-08-15 10:24:46.243214,2
18485,49906,0,0,0,1204,2024-06-19 19:10:02.118173,2
18514,0,0,10,0,84,2022-09-21 11:51:20.31498,3
18516,31743,0,0,0,236,2022-12-23 19:00:15.912028,2
18526,35,0,0,0,528,2023-08-25 12:05:08.087838,4
18517,0,0,0,0,542,2022-09-06 18:17:58.325057,2
23318,740,0,0,0,2077,2024-07-11 15:33:20.839448,4
18533,0,0,7,0,152,2023-03-16 16:28:38.359002,3
18534,0,0,0,0,608,2022-09-21 12:13:34.025079,2
23377,0,0,0,7,2107,2024-08-27 10:33:35.856204,3
18537,0,0,0,0,630,2023-02-06 11:05:05.148751,3
18553,489842,0,0,0,348,2023-06-05 11:27:15.222475,2
23120,0,0,0,27,1900,2025-01-20 17:23:28.477663,3
18228,0,0,0,0,688,2022-09-28 14:33:52.383244,4
18555,0,0,0,0,370,2022-09-06 18:17:58.325057,1
18543,56193,0,0,0,348,2024-11-25 10:33:38.43352,4
23320,740,0,0,0,2080,2024-07-11 15:33:35.833941,4
18474,0,0,0,0,632,2022-12-14 00:28:10.360895,3
18561,0,0,0,0,152,2022-09-06 18:17:58.325057,1
18573,0,0,0,0,50,2022-09-06 18:17:58.325057,1
18574,13,0,0,0,1206,2023-08-25 12:05:08.087838,4
23322,740,0,0,0,2079,2024-07-11 15:33:55.833487,4
18581,0,0,0,0,296,2022-09-06 18:17:58.325057,1
18583,43230,0,0,0,256,2023-07-21 14:56:48.009393,2
18589,0,0,0,0,861,2022-09-06 18:17:58.325057,2
18313,0,0,0,0,436,2024-06-18 01:30:05.825638,2
18600,33281,0,0,0,320,2023-06-05 11:27:15.222475,2
18590,0,0,0,0,653,2022-09-06 18:17:58.325057,4
18595,0,0,1159,0,138,2023-03-16 16:28:16.986385,2
18597,0,0,0,0,382,2022-09-06 18:17:58.325057,1
19192,232,0,0,0,645,2024-07-11 15:34:10.825772,4
23324,740,0,0,0,2076,2024-07-11 15:34:10.825772,4
21573,0,0,0,0,1640,2024-09-23 10:17:40.834771,2
18606,0,0,7,0,160,2023-03-16 16:29:10.788323,3
19805,25,4,0,0,645,2024-12-13 12:38:23.544408,3
18612,0,0,0,0,608,2022-09-21 12:19:17.761353,4
18274,0,0,0,0,1241,2023-05-23 15:32:57.797355,4
19887,927697,0,56,0,725,2023-05-23 15:32:57.797355,4
18617,0,0,0,0,533,2022-09-06 18:17:58.325057,4
18620,0,0,0,0,18,2022-09-06 18:17:58.325057,1
18377,0,0,0,0,338,2022-09-06 18:17:58.325057,1
18623,0,0,0,0,266,2022-09-06 18:17:58.325057,1
18622,18,0,0,0,595,2023-08-15 10:45:43.086542,4
18625,0,0,7,0,318,2022-09-21 11:49:15.779363,3
18630,0,0,33086,0,162,2022-09-21 11:36:38.32187,2
18631,0,0,7,0,322,2023-03-16 16:32:38.69112,3
18639,425914,0,0,0,382,2023-08-15 10:24:46.243214,2
23223,0,0,0,37,2068,2024-06-20 09:03:00.831413,3
18641,0,0,476,0,517,2023-03-16 16:17:55.728496,2
22930,0,0,0,0,1920,2024-01-10 15:27:09.092046,3
23030,0,0,0,1,2000,2024-04-01 11:15:45.641436,3
22877,7,0,0,0,1920,2024-01-10 15:27:09.092046,4
18656,0,0,0,108,743,2024-10-15 17:00:45.92146,3
23316,740,0,0,0,2078,2024-07-11 15:32:40.847503,4
18408,0,0,0,37,805,2024-10-30 16:05:48.045075,3
18603,9524,0,5,0,54,2024-11-25 09:57:13.445839,4
18624,1521,0,0,0,100,2024-11-25 10:01:23.459767,4
18566,2665,0,0,0,132,2024-11-25 10:04:13.439928,4
18490,176,0,0,5,148,2024-11-25 10:06:28.532108,4
18633,97,0,0,0,234,2024-11-25 10:19:38.439723,4
18608,57496,0,0,0,250,2024-11-25 10:21:08.441138,4
18585,4331,0,0,0,310,2024-11-25 10:29:08.451162,4
