id,remittance_id,bill_to_pay_id,transfer_to_id,variation,created_by,created_date,last_modified_by,last_modified_date
942,118,855,424,0.00,890,2022-12-02 12:34:51.314841,890,2022-12-02 12:34:51.314841
944,119,857,41,0.00,890,2022-12-02 12:58:00.509138,890,2022-12-02 12:58:00.509138
988,125,892,51,0.00,890,2022-12-06 10:28:02.582615,890,2022-12-06 10:28:02.582615
946,121,863,82,0.00,890,2022-12-05 10:53:27.462812,890,2022-12-05 10:53:27.462812
989,125,891,91,0.00,890,2022-12-06 10:28:02.583406,890,2022-12-06 10:28:02.583406
990,125,893,97,0.00,890,2022-12-06 10:28:02.583951,890,2022-12-06 10:28:02.583951
994,126,890,90,0.00,890,2022-12-06 10:30:41.268166,890,2022-12-06 10:30:41.268166
995,126,887,93,0.00,890,2022-12-06 10:30:41.268803,890,2022-12-06 10:30:41.268803
996,126,889,441,0.00,890,2022-12-06 10:30:41.269327,890,2022-12-06 10:30:41.269327
999,127,894,41,0.00,890,2022-12-06 11:30:21.769154,890,2022-12-06 11:30:21.769154
1000,127,896,443,0.00,890,2022-12-06 11:30:21.773033,890,2022-12-06 11:30:21.773033
1002,128,897,37,0.00,890,2022-12-06 11:53:29.437314,890,2022-12-06 11:53:29.437314
1004,129,904,95,0.00,890,2022-12-07 09:16:08.57477,890,2022-12-07 09:16:08.57477
1006,130,905,255,0.00,890,2022-12-07 14:22:38.506761,890,2022-12-07 14:22:38.506761
1009,132,924,37,0.00,890,2022-12-08 09:33:58.643041,890,2022-12-08 09:33:58.643041
1010,132,922,1,0.00,890,2022-12-08 09:33:58.643633,890,2022-12-08 09:33:58.643633
1012,134,927,424,0.00,890,2022-12-09 08:15:08.133193,890,2022-12-09 08:15:08.133193
1020,135,934,108,0.00,890,2022-12-12 09:55:50.165563,890,2022-12-12 09:55:50.165563
1021,135,932,106,0.00,890,2022-12-12 09:55:50.166902,890,2022-12-12 09:55:50.166902
1022,135,933,446,0.00,890,2022-12-12 09:55:50.167519,890,2022-12-12 09:55:50.167519
1023,135,930,83,0.00,890,2022-12-12 09:55:50.168089,890,2022-12-12 09:55:50.168089
1024,135,929,28,0.00,890,2022-12-12 09:55:50.168521,890,2022-12-12 09:55:50.168521
1025,135,928,86,0.00,890,2022-12-12 09:55:50.169294,890,2022-12-12 09:55:50.169294
1026,135,935,104,0.00,890,2022-12-12 09:55:50.169713,890,2022-12-12 09:55:50.169713
1034,137,939,46,0.00,890,2022-12-12 12:42:37.828652,890,2022-12-12 12:42:37.828652
1035,137,941,28,0.00,890,2022-12-12 12:42:37.829278,890,2022-12-12 12:42:37.829278
1036,137,942,101,0.00,890,2022-12-12 12:42:37.82969,890,2022-12-12 12:42:37.82969
1037,137,937,41,0.00,890,2022-12-12 12:42:37.830119,890,2022-12-12 12:42:37.830119
1038,137,940,447,0.00,890,2022-12-12 12:42:37.830662,890,2022-12-12 12:42:37.830662
1039,137,936,112,0.00,890,2022-12-12 12:42:37.831058,890,2022-12-12 12:42:37.831058
1040,137,938,446,0.00,890,2022-12-12 12:42:37.831632,890,2022-12-12 12:42:37.831632
1042,138,948,112,0.00,890,2022-12-13 09:27:03.547404,890,2022-12-13 09:27:03.547404
1051,141,969,94,0.00,890,2022-12-13 12:21:49.58494,890,2022-12-13 12:21:49.58494
1052,141,968,452,0.00,890,2022-12-13 12:21:49.585682,890,2022-12-13 12:21:49.585682
1060,143,351,172,0.00,890,2022-12-14 08:30:56.025612,890,2022-12-14 08:30:56.025612
1061,143,334,146,0.00,890,2022-12-14 08:30:56.028484,890,2022-12-14 08:30:56.028484
1062,143,359,189,0.00,890,2022-12-14 08:30:56.029615,890,2022-12-14 08:30:56.029615
1063,144,970,93,0.00,890,2022-12-14 08:31:32.069743,890,2022-12-14 08:31:32.069743
1231,147,1068,357,0.00,890,2022-12-14 15:53:08.830863,890,2022-12-14 15:53:08.830863
2480,210,1619,93,0.00,890,2023-01-12 11:59:49.844208,890,2023-01-12 11:59:49.844208
1233,147,1094,378,0.00,890,2022-12-14 15:53:08.8318,890,2022-12-14 15:53:08.8318
1234,147,1088,51,0.00,890,2022-12-14 15:53:08.832305,890,2022-12-14 15:53:08.832305
1074,146,1100,477,0.00,890,2022-12-14 15:20:47.847398,890,2022-12-14 15:20:47.847398
1075,146,1097,474,0.00,890,2022-12-14 15:20:47.848511,890,2022-12-14 15:20:47.848511
1076,146,1092,471,0.00,890,2022-12-14 15:20:47.849527,890,2022-12-14 15:20:47.849527
2481,210,1618,93,0.00,890,2023-01-12 11:59:49.8445,890,2023-01-12 11:59:49.8445
1078,146,1098,475,0.00,890,2022-12-14 15:20:47.852507,890,2022-12-14 15:20:47.852507
2547,216,1637,371,0.00,890,2023-01-18 14:44:48.891445,890,2023-01-18 14:44:48.891445
3883,367,2679,1,0.0,1406,2023-04-17 14:55:40.225042,1406,2023-04-17 14:55:40.225042
2040,198,1363,415,0.00,890,2023-01-10 09:03:12.187318,890,2023-01-10 09:03:12.187318
1082,146,1102,479,0.00,890,2022-12-14 15:20:47.855787,890,2022-12-14 15:20:47.855787
1083,146,1099,476,0.00,890,2022-12-14 15:20:47.856324,890,2022-12-14 15:20:47.856324
1235,147,1095,379,0.00,890,2022-12-14 15:53:08.832781,890,2022-12-14 15:53:08.832781
2041,198,1369,104,0.00,890,2023-01-10 09:03:12.187563,890,2023-01-10 09:03:12.187563
1237,147,1025,318,0.00,890,2022-12-14 15:53:08.834199,890,2022-12-14 15:53:08.834199
1238,147,1039,330,0.00,890,2022-12-14 15:53:08.834847,890,2022-12-14 15:53:08.834847
1239,147,1020,126,0.00,890,2022-12-14 15:53:08.835501,890,2022-12-14 15:53:08.835501
1240,147,1054,347,0.00,890,2022-12-14 15:53:08.836075,890,2022-12-14 15:53:08.836075
1241,147,1070,359,0.00,890,2022-12-14 15:53:08.836677,890,2022-12-14 15:53:08.836677
1242,147,1022,94,0.00,890,2022-12-14 15:53:08.837291,890,2022-12-14 15:53:08.837291
1243,147,1072,360,0.00,890,2022-12-14 15:53:08.837868,890,2022-12-14 15:53:08.837868
2042,198,1368,422,0.00,890,2023-01-10 09:03:12.187822,890,2023-01-10 09:03:12.187822
2043,198,1364,416,0.00,890,2023-01-10 09:03:12.188021,890,2023-01-10 09:03:12.188021
1246,147,1058,97,0.00,890,2022-12-14 15:53:08.839746,890,2022-12-14 15:53:08.839746
1247,147,1055,348,0.00,890,2022-12-14 15:53:08.840371,890,2022-12-14 15:53:08.840371
1248,147,1085,469,0.00,890,2022-12-14 15:53:08.841084,890,2022-12-14 15:53:08.841084
2044,198,1358,86,0.00,890,2023-01-10 09:03:12.188217,890,2023-01-10 09:03:12.188217
1250,147,1069,358,0.00,890,2022-12-14 15:53:08.842358,890,2022-12-14 15:53:08.842358
1251,147,1047,337,0.00,890,2022-12-14 15:53:08.842927,890,2022-12-14 15:53:08.842927
2045,198,1359,28,0.00,890,2023-01-10 09:03:12.188399,890,2023-01-10 09:03:12.188399
2046,198,1357,446,0.00,890,2023-01-10 09:03:12.188583,890,2023-01-10 09:03:12.188583
2047,198,1360,83,0.00,890,2023-01-10 09:03:12.188789,890,2023-01-10 09:03:12.188789
3884,367,2671,577,0.0,1406,2023-04-17 14:55:40.226601,1406,2023-04-17 14:55:40.226601
1257,147,1074,458,0.00,890,2022-12-14 15:53:08.846602,890,2022-12-14 15:53:08.846602
1258,147,1067,358,0.00,890,2022-12-14 15:53:08.847234,890,2022-12-14 15:53:08.847234
1259,147,1073,457,0.00,890,2022-12-14 15:53:08.847734,890,2022-12-14 15:53:08.847734
1260,147,1035,325,0.00,890,2022-12-14 15:53:08.848205,890,2022-12-14 15:53:08.848205
1261,147,1056,413,0.00,890,2022-12-14 15:53:08.848652,890,2022-12-14 15:53:08.848652
1262,147,1057,349,0.00,890,2022-12-14 15:53:08.849135,890,2022-12-14 15:53:08.849135
2155,205,1607,524,0.00,890,2023-01-11 08:45:41.528141,890,2023-01-11 08:45:41.528141
1264,147,1076,460,0.00,890,2022-12-14 15:53:08.850029,890,2022-12-14 15:53:08.850029
2585,229,1685,524,0.00,890,2023-01-24 10:01:36.055071,890,2023-01-24 10:01:36.055071
2586,229,1687,101,0.00,890,2023-01-24 10:01:36.056293,890,2023-01-24 10:01:36.056293
2587,229,1684,490,0.00,890,2023-01-24 10:01:36.057036,890,2023-01-24 10:01:36.057036
1268,147,1059,350,0.00,890,2022-12-14 15:53:08.851846,890,2022-12-14 15:53:08.851846
1269,147,1021,302,0.00,890,2022-12-14 15:53:08.852294,890,2022-12-14 15:53:08.852294
2604,238,1749,504,0.00,890,2023-01-30 14:26:22.857298,890,2023-01-30 14:26:22.857298
1272,147,1060,351,0.00,890,2022-12-14 15:53:08.853647,890,2022-12-14 15:53:08.853647
1273,147,1087,361,0.00,890,2022-12-14 15:53:08.854125,890,2022-12-14 15:53:08.854125
1275,147,1065,304,0.00,890,2022-12-14 15:53:08.854989,890,2022-12-14 15:53:08.854989
1456,171,1157,1,0.00,890,2022-12-21 10:25:50.790563,890,2022-12-21 10:25:50.790563
1303,150,1112,482,0.00,890,2022-12-15 09:57:45.503921,890,2022-12-15 09:57:45.503921
1304,150,1107,45,0.00,890,2022-12-15 09:57:45.504552,890,2022-12-15 09:57:45.504552
1305,150,1111,35,0.00,890,2022-12-15 09:57:45.505011,890,2022-12-15 09:57:45.505011
