id,issuer_id,recipient_id,ucs_transfer_amount,distribution_id,status,observations,created_by,created_date,last_modified_by,last_modified_date,reason_description,type_reason,origin_platform_id,recipient_platform_id
1251,3,12,2585,38602,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 9951",933,2023-07-06 19:38:41.388789,0,2024-11-25 08:58:50.126255,,,4,4
926,3,400,18560,38876,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 18716",933,2023-07-06 18:52:51.982249,933,2024-11-25 08:58:50.696623,,,4,4
1209,3,402,33,38659,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27628",933,2023-07-06 19:32:47.459914,0,2024-11-25 08:58:50.254356,,,4,4
927,3,400,59372,38873,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 18717",933,2023-07-06 18:53:00.427327,933,2024-11-25 08:58:50.696608,,,4,4
1248,3,10,376,38621,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 9950",933,2023-07-06 19:38:16.228172,0,2024-11-25 08:58:50.223968,,,4,4
1250,3,12,18494,38614,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27322",933,2023-07-06 19:38:33.047874,0,2024-11-25 08:58:50.173996,,,4,4
956,3,400,1844,38908,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 18746",933,2023-07-06 18:57:06.503786,933,2024-11-25 08:58:50.697636,,,4,4
1212,3,402,292,38597,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27631",933,2023-07-06 19:33:12.82266,0,2024-11-25 08:58:50.217573,,,4,4
957,3,400,38391,38915,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 18747",933,2023-07-06 18:57:14.927318,933,2024-11-25 08:58:50.697618,,,4,4
958,3,400,16175,38913,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 18748",933,2023-07-06 18:57:23.367014,933,2024-11-25 08:58:50.697591,,,4,4
1213,3,402,177,38596,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27632",933,2023-07-06 19:33:21.194888,933,2024-11-25 08:58:50.701642,,,4,4
959,3,400,6178,38911,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 18749",933,2023-07-06 18:57:31.993654,933,2024-11-25 08:58:50.697568,,,4,4
960,3,400,13547,38870,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 18750",933,2023-07-06 18:57:40.337217,933,2024-11-25 08:58:50.693845,,,4,4
1692,3,282,35,38146,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27408",933,2023-07-06 20:39:41.471945,933,2024-11-25 08:56:27.366372,,,4,4
1211,3,402,25,38598,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27630",933,2023-07-06 19:33:04.40401,851,2024-11-18 16:22:42.054862,,,4,4
