id,ucs_transfer_amount,issuer_id,recipient_id,distribution_id,ownership_transfer_type_id,status,retired,negotiated_total,created_by,created_date,last_modified_by,last_modified_date,reason_description,type_reason,nxt_id,year,origin_platform_id,recipient_platform_id
203,1500,3,1398,36904,14,PROCESSED,f,,918,2023-05-05 15:24:50.356483,0,2023-05-09 15:36:14.132035,,,,,4,
204,1500,3,1181,36896,9,PROCESSED,f,,918,2023-05-05 15:25:27.990315,0,2023-05-09 15:36:13.992305,,,,,4,
205,1500,3,1151,36899,9,PROCESSED,f,,918,2023-05-05 15:25:54.194298,918,2023-05-09 15:36:14.055458,,,,,4,
206,16667,3,919,36903,17,PROCESSED,f,,918,2023-05-05 15:28:26.583054,918,2023-05-09 15:36:14.144775,,,,2010,2,
218,375000,3,1109,,7,DENIED,f,,918,2023-06-15 11:10:36.64906,918,2023-06-15 11:12:37.743193,Dados incorretos,INCORRECT_DATA,,2010,2,
217,750000,3,1109,,7,DENIED,f,,918,2023-06-15 11:09:57.956713,918,2023-06-15 11:12:51.007853,Dados incorretos,INCORRECT_DATA,,2010,2,
225,16667,3,922,37086,1,PROCESSED,f,,918,2023-07-06 09:10:44.336354,933,2023-07-10 14:19:20.41403,,,,2010,2,
226,16667,3,919,37081,17,PROCESSED,f,,918,2023-07-06 09:11:13.679371,918,2023-07-10 14:19:20.424228,,,,2010,2,
227,300,3,1501,37080,16,PROCESSED,f,,918,2023-07-06 09:24:42.256371,918,2023-07-10 14:19:20.424014,,,,2010,2,
54,700,3,1151,36185,9,PROCESSED,f,,918,2022-03-15 15:15:09.561116,905,2022-03-24 15:57:57.636439,,,,2010,2,
55,350,3,1172,36183,9,PROCESSED,f,,918,2022-03-15 15:15:52.055044,0,2022-03-24 15:57:57.611884,,,,2010,2,
56,16667,3,836,36184,8,PROCESSED,f,,918,2022-03-18 15:13:09.774806,0,2022-03-24 15:57:57.611924,,,,2010,2,
52,16667,3,919,36186,6,PROCESSED,f,,918,2022-03-15 15:13:07.179052,0,2022-03-24 15:57:57.621697,,,,2010,2,
53,505,3,1181,36187,9,PROCESSED,f,,918,2022-03-15 15:14:31.282504,0,2022-03-24 15:57:57.633985,,,,2010,2,
57,50000,3,1204,36192,10,PROCESSED,f,,918,2022-03-28 11:19:54.691969,0,2022-03-29 09:19:41.851101,,,,2010,2,
58,175000,3,1206,36193,10,PROCESSED,f,,918,2022-03-28 11:30:24.359042,0,2022-03-29 09:19:41.853705,,,,2010,2,
59,100000,3,1208,36191,10,PROCESSED,f,,918,2022-03-28 14:01:34.515872,0,2022-03-29 09:19:41.854207,,,,2010,2,
185,10,3,1487,,14,DENIED,f,,918,2023-04-05 11:44:52.79048,918,2023-04-05 11:46:51.913966,incorreto,INCORRECT_DATA,,,4,
186,500,3,1489,36841,15,PROCESSED,f,,918,2023-04-05 11:46:29.706221,905,2023-04-10 15:17:54.426377,,,,2010,2,
229,10,3,1533,37077,16,PROCESSED,f,,918,2023-07-06 09:25:43.889405,933,2023-07-10 14:19:20.36237,,,,2010,2,
191,1500,3,1181,36842,9,PROCESSED,f,,918,2023-04-05 11:53:40.961614,0,2023-04-10 15:17:54.429993,,,,,4,
230,500,3,1489,37087,15,PROCESSED,f,,918,2023-07-06 09:26:12.2434,933,2023-07-10 14:19:20.421957,,,,2010,2,
184,300,3,1501,36845,16,PROCESSED,f,,918,2023-04-05 11:43:53.255722,905,2023-04-10 15:18:24.34674,,,,2010,2,
232,1500,3,1181,37078,9,PROCESSED,f,,918,2023-07-06 09:27:14.233727,918,2023-07-10 14:19:20.334593,,,,,4,
196,4,3,1534,36900,14,PROCESSED,f,,918,2023-05-03 09:44:02.776489,918,2023-05-09 15:36:14.057043,,,,2010,2,
219,31250,3,1109,,7,DENIED,f,,918,2023-06-15 11:13:19.629477,918,2023-06-15 11:14:24.020952,dados incorretos,INCORRECT_DATA,,2010,2,
209,10,3,1533,37028,14,PROCESSED,f,,918,2023-06-12 09:48:25.540166,1410,2023-06-15 11:23:23.897488,,,,2010,2,
240,10,3,1487,37128,14,PROCESSED,f,,918,2023-08-09 10:03:57.80726,918,2023-08-10 13:34:20.655598,,,,2010,2,
207,16667,3,919,37030,17,PROCESSED,f,,918,2023-06-12 09:47:02.986833,918,2023-06-15 11:23:35.626964,,,,2010,2,
211,500,3,1489,37027,15,PROCESSED,f,,918,2023-06-12 09:49:17.982548,918,2023-06-15 11:23:23.858378,,,,2010,2,
212,16667,3,922,37022,1,PROCESSED,f,,918,2023-06-12 09:50:01.056456,1410,2023-06-15 11:23:23.784018,,,,2010,2,
238,500,3,1489,37130,15,PROCESSED,f,,918,2023-08-09 10:02:53.123563,918,2023-08-10 13:34:36.736413,,,,2010,2,
213,12334,3,937,37025,10,PROCESSED,f,,918,2023-06-12 09:50:47.038298,1410,2023-06-15 11:23:23.838363,,,,2010,2,
220,4500000,3,1109,,7,DENIED,f,,918,2023-06-15 11:14:53.459809,918,2023-06-21 17:22:17.240353,correção,INCORRECT_DATA,,2010,2,
237,1500,3,1151,37131,9,PROCESSED,f,,918,2023-08-09 10:02:29.124556,918,2023-08-10 13:34:57.698704,,,,,4,
236,1500,3,1181,37132,9,PROCESSED,f,,918,2023-08-09 10:02:10.691845,918,2023-08-10 13:35:14.060499,,,,,4,
235,1500,3,1398,37133,12,PROCESSED,f,,918,2023-08-09 10:01:47.169046,918,2023-08-10 13:35:26.033446,,,,,4,
102,1500,3,1181,36355,9,PROCESSED,f,,918,2022-07-08 14:48:35.418475,0,2022-07-11 17:25:10.970478,,,,2010,2,
100,680,3,928,36356,5,PROCESSED,f,,918,2022-07-08 14:45:00.454481,0,2022-07-11 17:25:10.97091,,,,2010,2,
231,1500,3,1151,37079,9,PROCESSED,f,,918,2023-07-06 09:26:54.463565,933,2023-07-10 14:19:20.353992,,,,,4,
199,500,3,1489,36898,15,PROCESSED,f,,918,2023-05-03 10:09:06.135754,918,2023-05-09 15:36:14.156281,,,,2010,2,
200,10,3,1487,36897,14,PROCESSED,f,,918,2023-05-03 10:09:53.283591,918,2023-05-09 15:36:14.155895,,,,2010,2,
201,10,3,1533,36894,14,PROCESSED,f,,918,2023-05-03 10:10:23.354547,918,2023-05-09 15:36:13.981634,,,,2010,2,
187,10,3,1487,36839,14,PROCESSED,f,,918,2023-04-05 11:47:20.373548,905,2023-04-10 15:17:54.352012,,,,2010,2,
188,6,3,1533,36844,14,PROCESSED,f,,918,2023-04-05 11:52:07.857314,905,2023-04-10 15:17:54.489469,,,,2010,2,
189,6,3,1534,36836,14,PROCESSED,f,,918,2023-04-05 11:52:33.216546,905,2023-04-10 15:17:54.49196,,,,2010,2,
