id,supply_type,payment_date,start_date,end_date,register_bank_id,file_generated,response_read,created_by,created_date,last_modified_by,last_modified_date
49,ASSETS,2022-10-28 00:00:00,2022-11-08 21:00:00,2022-11-10 21:00:00,2,t,t,890,2022-10-28 13:54:54.336821,890,2022-10-28 13:56:50.646554
50,OTHER,2022-10-28 00:00:00,2022-10-26 21:00:00,2022-10-28 21:00:00,2,t,t,890,2022-10-28 14:33:01.54552,890,2022-10-28 14:33:37.806614
52,ASSETS,2022-10-28 00:00:00,2022-11-08 21:00:00,2022-11-10 21:00:00,2,t,t,890,2022-10-28 16:43:09.036438,890,2022-10-28 16:43:53.138598
54,OTHER,2022-10-31 00:00:00,2022-10-29 21:00:00,2022-10-31 21:00:00,2,t,t,890,2022-10-31 09:57:30.926053,890,2022-10-31 09:57:40.687318
46,ASSETS,2022-10-28 00:00:00,2022-11-08 21:00:00,2022-11-10 21:00:00,2,t,t,890,2022-10-28 09:32:08.87864,890,2022-10-28 09:35:31.517897
56,OTHER,2022-10-31 00:00:00,2022-10-29 21:00:00,2022-10-31 21:00:00,1,t,t,890,2022-10-31 13:56:19.325059,890,2022-10-31 13:56:35.557543
53,ASSETS,2022-10-31 00:00:00,2022-11-08 21:00:00,2022-11-10 21:00:00,2,t,t,890,2022-10-31 09:52:39.908144,890,2022-10-31 09:52:55.762591
57,ASSETS,2022-10-31 00:00:00,2022-11-08 21:00:00,2022-11-10 21:00:00,2,t,t,890,2022-10-31 15:00:07.370046,890,2022-10-31 15:01:36.855027
55,OTHER,2022-10-31 00:00:00,2022-10-27 21:00:00,2022-10-31 21:00:00,1,t,t,890,2022-10-31 11:58:04.400137,890,2022-10-31 11:58:25.981402
64,OTHER,2022-11-03 00:00:00,2022-11-01 21:00:00,2022-11-03 21:00:00,2,t,t,890,2022-11-03 14:32:19.793188,890,2022-11-03 14:32:32.969634
63,OTHER,2022-11-03 00:00:00,2022-11-01 21:00:00,2022-12-03 21:00:00,1,t,t,890,2022-11-03 14:12:02.043817,890,2022-11-03 14:12:17.542902
59,OTHER,2022-11-01 00:00:00,2022-10-30 21:00:00,2022-11-01 21:00:00,1,t,t,890,2022-11-01 09:50:19.17969,890,2022-11-01 09:51:24.775836
58,ASSETS,2022-10-31 00:00:00,2022-11-08 21:00:00,2022-11-10 21:00:00,2,t,t,890,2022-10-31 15:32:18.698514,890,2022-10-31 15:35:40.396944
62,OTHER,2022-11-03 00:00:00,2022-11-01 21:00:00,2022-11-03 21:00:00,1,t,t,890,2022-11-03 10:02:01.35625,890,2022-11-03 10:02:14.156935
65,OTHER,2022-11-03 00:00:00,2022-11-01 21:00:00,2022-11-03 21:00:00,1,t,t,890,2022-11-03 14:41:28.864709,890,2022-11-03 14:41:43.139666
61,OTHER,2022-11-01 00:00:00,2022-10-30 21:00:00,2022-11-01 21:00:00,1,t,t,890,2022-11-01 11:55:44.096318,890,2022-11-01 11:57:08.498653
68,OTHER,2022-11-04 00:00:00,2022-11-01 21:00:00,2022-11-05 21:00:00,2,t,t,890,2022-11-04 10:39:49.391231,890,2022-11-04 11:28:50.518146
