id,data,transaction_id,status,ref
167,,MIGRACAO_308,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
168,,MIGRACAO_310,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
169,,MIGRACAO_312,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
170,,MIGRACAO_314,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
171,,MIGRACAO_316,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
172,,MIGRACAO_318,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
173,,13108530893468515949,APPROVED,CERTIFICATE_TESOURO_VERDE
174,,16552685633948392101,APPROVED,CERTIFICATE_TESOURO_VERDE
175,,17226416264610484546,APPROVED,CERTIFICATE_TESOURO_VERDE
176,,10308935794677335894,APPROVED,CERTIFICATE_TESOURO_VERDE
177,,9332418759716178452,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
178,,4682228554891333375,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
179,,2690028919698247573,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
180,,13677530078981744606,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
181,,9377662628901009453,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
182,,1369478397381644905,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
183,,16639668926798371643,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
184,,17620675970820249799,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
185,,15382366757055013473,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
186,,14134891297140350564,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
187,,14848945676369819549,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
188,,150105615285635008,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
189,,2563247972843646139,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
190,,11926340701488608755,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
191,,2642987963335100951,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
192,,10690245900682683373,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
193,,1842002679667413642,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
194,,2391661470501848133,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
195,,123126428262167726,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
196,,779265989846544602,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
197,,13623145651176486030,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
198,,15889557270862002769,APPROVED,CERTIFICATE_TESOURO_VERDE
199,,16616855695866139080,APPROVED,CERTIFICATE_TESOURO_VERDE
200,,16483222302697821327,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
201,,13014207699972697787,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
202,,15240473889143799471,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
203,,15323420934761206327,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
204,,4997674398531249539,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
205,,3474455302268164669,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
206,,2481718247873774758,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
207,,13678026871925110740,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
208,,1884087516610433606,APPROVED,CERTIFICATE_TESOURO_VERDE
209,,16798129886992900163,APPROVED,CERTIFICATE_TESOURO_VERDE
210,,9172805638377741956,APPROVED,CERTIFICATE_TESOURO_VERDE
211,,11183657320371089259,APPROVED,CERTIFICATE_TESOURO_VERDE
212,,17621508095983189600,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
213,,9802622043857667214,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
214,,1353605314061158509,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
215,,8447272306005607695,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
216,,6482892231941002148,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
217,,8963851137152791246,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
218,,13043212891292165144,APPROVED,CERTIFICATE_TESOURO_VERDE
219,,417829880487286261,APPROVED,CERTIFICATE_TESOURO_VERDE
220,,9313048918803195737,APPROVED,CERTIFICATE_TESOURO_VERDE
221,,12532498878570548535,APPROVED,CERTIFICATE_TESOURO_VERDE
222,,5634384928517390407,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
223,,5990611507205347823,APPROVED,CERTIFICATE_TESOURO_VERDE
224,,16812543899927416060,APPROVED,CERTIFICATE_TESOURO_VERDE
225,,1003281912582652572,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
