id,profile_id,ucs_amount,position,order_book_group_id,created_by,created_date,last_modified_by,last_modified_date,next
3536,581,0,9,183,0,2022-12-23 19:09:21.17079,0,2022-12-23 19:09:21.17079,f
3537,582,0,10,183,0,2022-12-23 19:09:21.175888,0,2022-12-23 19:09:21.175888,f
3538,583,0,11,183,0,2022-12-23 19:09:21.181617,0,2022-12-23 19:09:21.181617,f
3539,584,0,12,183,0,2022-12-23 19:09:21.185875,0,2022-12-23 19:09:21.185875,f
3540,589,0,13,183,0,2022-12-23 19:09:21.190646,0,2022-12-23 19:09:21.190646,f
3541,590,0,14,183,0,2022-12-23 19:09:21.19539,0,2022-12-23 19:09:21.19539,f
3542,591,0,15,183,0,2022-12-23 19:09:21.200016,0,2022-12-23 19:09:21.200016,f
3543,592,0,16,183,0,2022-12-23 19:09:21.204619,0,2022-12-23 19:09:21.204619,f
3544,593,0,17,183,0,2022-12-23 19:09:21.208646,0,2022-12-23 19:09:21.208646,f
3545,595,0,18,183,0,2022-12-23 19:09:21.214147,0,2022-12-23 19:09:21.214147,f
3546,596,0,19,183,0,2022-12-23 19:09:21.218519,0,2022-12-23 19:09:21.218519,f
3547,597,0,20,183,0,2022-12-23 19:09:21.2229,0,2022-12-23 19:09:21.2229,f
2952,86,0,1,140,0,2022-10-25 15:27:40.075049,0,2022-10-25 15:27:40.075049,f
3692,304,0,100,187,0,2023-01-03 17:43:27.08833,0,2023-01-03 17:43:27.08833,f
3693,306,0,101,187,0,2023-01-03 17:43:27.097471,0,2023-01-03 17:43:27.097471,f
3694,312,0,102,187,0,2023-01-03 17:43:27.106681,0,2023-01-03 17:43:27.106681,f
3695,322,0,103,187,0,2023-01-03 17:43:27.115928,0,2023-01-03 17:43:27.115928,f
3696,326,0,104,187,0,2023-01-03 17:43:27.125606,0,2023-01-03 17:43:27.125606,f
3697,328,0,105,187,0,2023-01-03 17:43:27.13526,0,2023-01-03 17:43:27.13526,f
3698,336,0,106,187,0,2023-01-03 17:43:27.144781,0,2023-01-03 17:43:27.144781,f
3699,346,0,107,187,0,2023-01-03 17:43:27.155162,0,2023-01-03 17:43:27.155162,f
3548,599,0,21,183,0,2022-12-23 19:09:21.228431,0,2022-12-23 19:09:21.228431,f
3118,1134,0,31,171,933,2022-12-13 20:23:18.364041,933,2022-12-13 20:23:18.364041,f
3119,1320,0,32,171,933,2022-12-13 20:25:42.120772,933,2022-12-13 20:25:42.120772,f
3549,600,0,22,183,0,2022-12-23 19:09:21.235132,0,2022-12-23 19:09:21.235132,f
3550,602,0,23,183,0,2022-12-23 19:09:21.240048,0,2022-12-23 19:09:21.240048,f
3551,604,0,24,183,0,2022-12-23 19:09:21.245335,0,2022-12-23 19:09:21.245335,f
3552,605,0,25,183,0,2022-12-23 19:09:21.253396,0,2022-12-23 19:09:21.253396,f
3553,613,0,26,183,0,2022-12-23 19:09:21.260789,0,2022-12-23 19:09:21.260789,f
3554,616,0,27,183,0,2022-12-23 19:09:21.266562,0,2022-12-23 19:09:21.266562,f
3555,621,0,28,183,0,2022-12-23 19:09:21.272659,0,2022-12-23 19:09:21.272659,f
3556,631,0,29,183,0,2022-12-23 19:09:21.278481,0,2022-12-23 19:09:21.278481,f
3557,635,0,30,183,0,2022-12-23 19:09:21.284134,0,2022-12-23 19:09:21.284134,f
3558,639,0,31,183,0,2022-12-23 19:09:21.288712,0,2022-12-23 19:09:21.288712,f
3559,643,0,32,183,0,2022-12-23 19:09:21.294411,0,2022-12-23 19:09:21.294411,f
3700,366,0,108,187,0,2023-01-03 17:43:27.164894,0,2023-01-03 17:43:27.164894,f
3701,378,0,109,187,0,2023-01-03 17:43:27.174461,0,2023-01-03 17:43:27.174461,f
4733,1172,0,5,352,0,2023-08-24 11:37:15.813219,0,2023-08-24 11:37:15.813219,f
3121,1224,0,34,171,933,2022-12-14 00:03:19.969678,933,2022-12-14 00:03:19.969678,f
3122,1366,0,35,171,933,2022-12-14 00:03:52.762745,933,2022-12-14 00:03:52.762745,f
3123,1229,0,36,171,933,2022-12-14 00:04:20.029737,933,2022-12-14 00:04:20.029737,f
3125,595,0,37,171,933,2022-12-14 00:09:24.095441,933,2022-12-14 00:09:24.095441,f
3126,1227,0,38,171,933,2022-12-14 00:09:44.180303,933,2022-12-14 00:09:44.180303,f
