id,role_user_id,user_id,status,processing_message,reason,description,active,block,area_id,amount,created_by,created_date,last_modified_by,last_modified_date
125,,76,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendencia cadastral.",t,t,,,933,2023-03-16 14:26:20.079879,933,2023-03-16 14:26:20.079879
126,,77,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendencia cadastral.",t,t,,,933,2023-03-16 14:27:09.189145,933,2023-03-16 14:27:09.189145
127,,78,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendencia cadastral.",t,t,,,933,2023-03-16 14:27:44.155541,933,2023-03-16 14:27:44.155541
128,,80,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendencia cadastral.",t,t,,,933,2023-03-16 14:28:51.98929,933,2023-03-16 14:28:51.98929
129,,89,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendencia cadastral.",t,t,,,933,2023-03-16 14:30:12.672077,933,2023-03-16 14:30:12.672077
130,,91,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendencia cadastral.",t,t,,,933,2023-03-16 14:32:21.496041,933,2023-03-16 14:32:21.496041
131,,99,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendencia cadastral.",t,t,,,933,2023-03-16 14:33:02.456325,933,2023-03-16 14:33:02.456325
132,,107,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendencia cadastral.",t,t,,,933,2023-03-16 14:34:47.720394,933,2023-03-16 14:34:47.720394
133,,112,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendência cadastral.",t,t,,,933,2023-03-16 14:36:30.491227,933,2023-03-16 14:36:30.491227
134,,127,FINISHED,,BREACH_OF_CONTRACT,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a desmatamento de propriedade rural.",t,t,,,933,2023-03-16 14:37:40.647923,933,2023-03-16 14:37:40.647923
135,,137,FINISHED,,BREACH_OF_CONTRACT,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a desmatamento de propriedade rural.",t,t,,,933,2023-03-16 14:38:53.650984,933,2023-03-16 14:38:53.650984
76,,262,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendencia cadastral.",t,t,,,933,2023-03-16 11:09:24.254615,933,2023-03-16 11:09:24.254615
148,,269,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendência cadastral.",t,t,,,933,2023-03-16 16:19:44.114062,933,2023-03-16 16:19:44.114062
