id,endpoint_id,permission_id,created_by,created_date,last_modified_by,last_modified_date
8835,7889,355,,,,
8836,7890,354,,,,
8837,7891,358,,,,
8838,7892,353,,,,
8839,7892,354,,,,
8840,7893,354,,,,
8841,7894,357,,,,
8842,7895,357,,,,
8843,7896,356,,,,
8844,7897,362,,,,
8845,7898,362,,,,
8846,7899,364,,,,
8847,7900,363,,,,
8848,7901,372,,,,
8849,7902,372,,,,
8850,7903,372,,,,
8851,7904,374,,,,
8852,7905,373,,,,
